timestamp,asset,direzione,esito,pnl_perc,hurst,kaufman,regime,cvd_proxy,vpin_proxy,atr_perc
2025-11-30T20:00,XXRPZUSD,SHORT,WIN,7.47,0.6270879334096453,0.179,UNDEFINED,-40452.0,0.01,1.471
2025-12-01T00:00,XXRPZUSD,SHORT,WIN,2.77,0.6270879334096453,0.741,TRENDING,-247169.0,0.107,1.6297
2025-12-01T04:00,XXRPZUSD,SHORT,WIN,3.09,0.6270879334096453,0.743,TRENDING,-137236.0,0.077,1.7039
2025-12-01T08:00,XXRPZUSD,SHORT,LOSS,-1.77,0.6270879334096453,0.743,TRENDING,-124936.0,0.071,1.7659
2025-12-01T12:00,XXRPZUSD,LONG,WIN,7.38,0.6270879334096453,0.83,TRENDING,-235137.0,0.167,1.934
2025-12-01T16:00,XXRPZUSD,LONG,WIN,9.06,0.624898337629703,0.868,TRENDING,-248028.0,0.293,1.8977
2025-12-01T20:00,XXRPZUSD,LONG,WIN,7.09,0.624898337629703,0.616,TRENDING,-357005.0,0.218,1.9347
2025-12-02T00:00,XXRPZUSD,LONG,WIN,7.77,0.624898337629703,0.615,TRENDING,-320817.0,0.221,1.9748
2025-12-02T04:00,XXRPZUSD,LONG,WIN,8.6,0.624898337629703,0.664,TRENDING,-288838.0,0.199,1.9473
2025-12-02T08:00,XXRPZUSD,LONG,WIN,7.57,0.624898337629703,0.564,TRENDING,-270331.0,0.169,2.0066
2025-12-02T12:00,XXRPZUSD,LONG,LOSS,-2.26,0.6387876374787013,0.006,MEAN_REVERSION,-130678.0,0.108,2.2559
2025-12-02T16:00,XXRPZUSD,SHORT,LOSS,-2.31,0.6387876374787013,0.45,TRENDING,-55408.0,0.077,2.3121
2025-12-02T20:00,XXRPZUSD,LONG,LOSS,-2.35,0.6387876374787013,0.335,TRENDING,-160381.0,0.08,2.3541
2025-12-03T00:00,XXRPZUSD,LONG,LOSS,-2.43,0.6387876374787013,0.5,TRENDING,-57967.0,0.02,2.4302
2025-12-03T04:00,XXRPZUSD,SHORT,LOSS,-2.4,0.6387876374787013,0.658,TRENDING,-6964.0,0.009,2.4044
2025-12-03T08:00,XXRPZUSD,SHORT,LOSS,-2.13,0.6421502784747773,0.66,TRENDING,-51853.0,0.014,2.1257
2025-12-03T12:00,XXRPZUSD,LONG,LOSS,-2.18,0.6421502784747773,0.56,TRENDING,-22979.0,0.108,2.1826
2025-12-03T16:00,XXRPZUSD,SHORT,WIN,4.07,0.6421502784747773,0.646,TRENDING,15370.0,0.03,2.1832
2025-12-03T20:00,XXRPZUSD,SHORT,WIN,4.65,0.6421502784747773,0.681,TRENDING,45226.0,0.052,2.0554
2025-12-04T00:00,XXRPZUSD,SHORT,WIN,4.72,0.6421502784747773,0.634,TRENDING,-4999.0,0.022,2.0654
2025-12-04T04:00,XXRPZUSD,SHORT,WIN,3.72,0.6401211538811798,0.103,UNDEFINED,23495.0,0.014,2.034
2025-12-04T08:00,XXRPZUSD,SHORT,WIN,3.78,0.6401211538811798,0.148,UNDEFINED,161567.0,0.016,2.0399
2025-12-04T12:00,XXRPZUSD,SHORT,WIN,3.91,0.6401211538811798,0.001,MEAN_REVERSION,148101.0,0.028,2.1245
2025-12-04T16:00,XXRPZUSD,SHORT,LOSS,-2.33,0.6401211538811798,0.47,TRENDING,89030.0,0.043,2.3311
2025-12-04T20:00,XXRPZUSD,SHORT,LOSS,-1.94,0.6401211538811798,0.598,TRENDING,179016.0,0.071,1.9407
2025-12-05T00:00,XXRPZUSD,SHORT,LOSS,-1.86,0.6398326279503698,0.571,TRENDING,227227.0,0.099,1.8636
2025-12-05T04:00,XXRPZUSD,SHORT,WIN,3.01,0.6398326279503698,0.524,TRENDING,188401.0,0.041,1.8351
2025-12-05T08:00,XXRPZUSD,SHORT,LOSS,-1.82,0.6398326279503698,0.778,TRENDING,215663.0,0.044,1.8194
2025-12-05T12:00,XXRPZUSD,SHORT,LOSS,-1.81,0.6398326279503698,0.844,TRENDING,304313.0,0.008,1.8052
2025-12-05T16:00,XXRPZUSD,SHORT,LOSS,-1.96,0.6398326279503698,0.874,TRENDING,182954.0,0.073,1.9599
2025-12-05T20:00,XXRPZUSD,SHORT,LOSS,-1.82,0.685932275347777,0.857,TRENDING,46979.0,0.057,1.8249
2025-12-06T00:00,XXRPZUSD,LONG,LOSS,-1.79,0.685932275347777,0.784,TRENDING,2500.0,0.088,1.7906
2025-12-06T04:00,XXRPZUSD,LONG,LOSS,-1.77,0.685932275347777,0.83,TRENDING,40197.0,0.034,1.7717
2025-12-06T08:00,XXRPZUSD,LONG,LOSS,-1.74,0.685932275347777,0.692,TRENDING,-16390.0,0.059,1.7376
2025-12-06T12:00,XXRPZUSD,LONG,LOSS,-1.71,0.685932275347777,0.694,TRENDING,-142616.0,0.133,1.7114
2025-12-06T16:00,XXRPZUSD,LONG,WIN,2.94,0.6903573835316439,0.694,TRENDING,-134850.0,0.163,1.6519
2025-12-06T20:00,XXRPZUSD,LONG,WIN,2.67,0.6903573835316439,0.64,TRENDING,-58238.0,0.132,1.5405
2025-12-07T00:00,XXRPZUSD,SHORT,LOSS,-1.35,0.6903573835316439,0.006,MEAN_REVERSION,-67385.0,0.186,1.3517
2025-12-07T04:00,XXRPZUSD,LONG,WIN,2.73,0.6903573835316439,0.31,TRENDING,-208100.0,0.175,1.4558
2025-12-07T08:00,XXRPZUSD,LONG,WIN,2.75,0.6903573835316439,0.034,MEAN_REVERSION,-128572.0,0.172,1.4026
2025-12-07T12:00,XXRPZUSD,LONG,LOSS,-1.54,0.6924653634423041,0.137,UNDEFINED,-3859.0,0.135,1.5435
2025-12-07T16:00,XXRPZUSD,SHORT,LOSS,-1.63,0.6924653634423041,0.294,TRENDING,136287.0,0.12,1.6328
2025-12-07T20:00,XXRPZUSD,LONG,LOSS,-1.79,0.6924653634423041,0.074,MEAN_REVERSION,-57544.0,0.076,1.7931
2025-12-08T00:00,XXRPZUSD,LONG,LOSS,-1.77,0.6924653634423041,0.184,UNDEFINED,178915.0,0.114,1.7731
2025-12-08T04:00,XXRPZUSD,SHORT,LOSS,-1.78,0.6924653634423041,0.248,TRENDING,245369.0,0.077,1.781
2025-12-08T08:00,XXRPZUSD,SHORT,LOSS,-1.84,0.6918425832778554,0.288,TRENDING,296653.0,0.124,1.8404
2025-12-08T12:00,XXRPZUSD,LONG,LOSS,-1.93,0.6918425832778554,0.191,UNDEFINED,207777.0,0.117,1.9263
2025-12-08T16:00,XXRPZUSD,LONG,LOSS,-1.95,0.6918425832778554,0.042,MEAN_REVERSION,293063.0,0.141,1.9493
2025-12-08T20:00,XXRPZUSD,LONG,LOSS,-1.95,0.6918425832778554,0.253,TRENDING,162580.0,0.059,1.9526
2025-12-09T00:00,XXRPZUSD,LONG,WIN,3.03,0.6918425832778554,0.22,TRENDING,247923.0,0.069,1.9823
2025-12-09T04:00,XXRPZUSD,LONG,WIN,3.49,0.679514531082518,0.051,MEAN_REVERSION,252055.0,0.066,2.0432
2025-12-09T08:00,XXRPZUSD,LONG,WIN,3.09,0.6508077446894452,0.128,UNDEFINED,217000.0,0.106,1.9694
2025-12-09T12:00,XXRPZUSD,SHORT,LOSS,-2.01,0.638884325310453,0.525,TRENDING,345401.0,0.157,2.0095
2025-12-09T16:00,XXRPZUSD,SHORT,WIN,3.32,0.5967924497786787,0.488,TRENDING,431083.0,0.313,2.1676
2025-12-09T20:00,XXRPZUSD,SHORT,LOSS,-2.13,0.6182784945647356,0.149,UNDEFINED,345841.0,0.263,2.134
2025-12-10T00:00,XXRPZUSD,SHORT,WIN,4.02,0.6283416845438589,0.043,MEAN_REVERSION,335256.0,0.251,2.0056
2025-12-10T04:00,XXRPZUSD,SHORT,WIN,4.05,0.5945293661193118,0.061,MEAN_REVERSION,337814.0,0.253,1.7958
2025-12-10T08:00,XXRPZUSD,SHORT,WIN,3.5,0.5828666419397843,0.039,MEAN_REVERSION,293795.0,0.25,1.701
2025-12-10T12:00,XXRPZUSD,SHORT,WIN,3.13,0.5915286611503744,0.067,MEAN_REVERSION,278526.0,0.169,1.6876
2025-12-10T16:00,XXRPZUSD,SHORT,WIN,3.4,0.6260355935955702,0.016,MEAN_REVERSION,319526.0,0.287,1.7112
2025-12-10T20:00,XXRPZUSD,SHORT,LOSS,-1.85,0.6121086642659056,0.107,UNDEFINED,141070.0,0.194,1.8462
2025-12-11T00:00,XXRPZUSD,LONG,LOSS,-1.99,0.5701132484586672,0.329,TRENDING,12260.0,0.098,1.9887
2025-12-11T04:00,XXRPZUSD,LONG,LOSS,-1.98,0.5585813646256617,0.633,TRENDING,103341.0,0.116,1.9784
2025-12-11T08:00,XXRPZUSD,LONG,LOSS,-1.95,0.5876077625255606,0.804,TRENDING,19270.0,0.114,1.9484
2025-12-11T12:00,XXRPZUSD,LONG,LOSS,-1.99,0.6414043986323322,0.784,TRENDING,-83042.0,0.063,1.9887
2025-12-11T16:00,XXRPZUSD,SHORT,LOSS,-2.04,0.6844199319794259,0.55,TRENDING,-60401.0,0.107,2.0394
2025-12-11T20:00,XXRPZUSD,SHORT,LOSS,-1.95,0.5831880164030472,0.327,TRENDING,20596.0,0.123,1.9474
2025-12-12T00:00,XXRPZUSD,SHORT,LOSS,-1.83,0.58776072580484,0.284,TRENDING,-54919.0,0.096,1.8292
2025-12-12T04:00,XXRPZUSD,SHORT,WIN,2.88,0.5977175210551603,0.175,UNDEFINED,4124.0,0.127,1.7282
2025-12-12T08:00,XXRPZUSD,SHORT,WIN,3.11,0.6185836304335293,0.183,UNDEFINED,33177.0,0.122,1.6995
2025-12-12T12:00,XXRPZUSD,LONG,LOSS,-1.97,0.6282544308038712,0.359,TRENDING,1384.0,0.051,1.9663
2025-12-12T16:00,XXRPZUSD,LONG,LOSS,-2.01,0.5967646533954372,0.024,MEAN_REVERSION,59132.0,0.059,2.0081
2025-12-12T20:00,XXRPZUSD,LONG,LOSS,-2.02,0.5840018267399891,0.001,MEAN_REVERSION,-19946.0,0.136,2.0182
2025-12-13T00:00,XXRPZUSD,LONG,LOSS,-1.89,0.6214424856015062,0.082,MEAN_REVERSION,-150441.0,0.083,1.8875
2025-12-13T04:00,XXRPZUSD,SHORT,LOSS,-1.71,0.6266303630868724,0.19,UNDEFINED,-48050.0,0.082,1.7057
2025-12-13T08:00,XXRPZUSD,SHORT,LOSS,-1.56,0.6200970688346189,0.142,UNDEFINED,-643.0,0.073,1.5629
2025-12-13T12:00,XXRPZUSD,SHORT,LOSS,-1.53,0.5851143603039825,0.032,MEAN_REVERSION,-40728.0,0.097,1.5347
2025-12-13T16:00,XXRPZUSD,SHORT,LOSS,-1.55,0.6160690614327629,0.082,MEAN_REVERSION,-27293.0,0.048,1.5462
2025-12-13T20:00,XXRPZUSD,SHORT,LOSS,-1.47,0.6437633896910655,0.106,UNDEFINED,28978.0,0.085,1.4738
2025-12-14T00:00,XXRPZUSD,SHORT,WIN,2.26,0.6686409426727687,0.132,UNDEFINED,-63445.0,0.109,1.3725
2025-12-14T04:00,XXRPZUSD,SHORT,WIN,2.03,0.6686695202911658,0.522,TRENDING,115460.0,0.122,1.2517
2025-12-14T08:00,XXRPZUSD,SHORT,LOSS,-1.28,0.6650481975134469,0.034,MEAN_REVERSION,255703.0,0.102,1.2812
2025-12-14T12:00,XXRPZUSD,SHORT,WIN,3.33,0.6403828944147264,0.203,TRENDING,188840.0,0.007,1.288
2025-12-14T16:00,XXRPZUSD,SHORT,WIN,4.63,0.6154560957084861,0.524,TRENDING,127087.0,0.156,1.2958
2025-12-14T20:00,XXRPZUSD,SHORT,WIN,4.15,0.6494143066116029,0.723,TRENDING,220379.0,0.128,1.1847
2025-12-15T00:00,XXRPZUSD,SHORT,WIN,6.18,0.6431699295010996,0.472,TRENDING,182620.0,0.076,1.1286
2025-12-15T04:00,XXRPZUSD,SHORT,WIN,6.15,0.6185879851382291,0.451,TRENDING,72519.0,0.109,1.0966
2025-12-15T08:00,XXRPZUSD,SHORT,WIN,5.83,0.5902818228592482,0.427,TRENDING,106072.0,0.096,1.0996
2025-12-15T12:00,XXRPZUSD,SHORT,WIN,2.79,0.6098206311201996,0.724,TRENDING,-152096.0,0.153,1.3211
2025-12-15T16:00,XXRPZUSD,LONG,WIN,2.31,0.6741851238102854,0.791,TRENDING,-343856.0,0.336,1.5212
2025-12-15T20:00,XXRPZUSD,LONG,LOSS,-1.54,0.6370270366589607,0.763,TRENDING,-169772.0,0.184,1.5375
