timestamp,asset,direzione,esito,pnl_perc,hurst,kaufman,regime,cvd_proxy,vpin_proxy,atr_perc
2025-11-30T20:00,XETHZUSD,SHORT,WIN,8.44,0.378090457373256,0.12,MEAN_REVERSION,18879.0,0.213,1.172
2025-12-01T00:00,XETHZUSD,SHORT,WIN,3.1,0.378090457373256,0.619,TRENDING,-287815.0,0.07,1.5396
2025-12-01T04:00,XETHZUSD,SHORT,WIN,3.57,0.378090457373256,0.581,UNDEFINED,-105827.0,0.122,1.5301
2025-12-01T08:00,XETHZUSD,SHORT,WIN,3.49,0.378090457373256,0.556,UNDEFINED,-128431.0,0.111,1.5036
2025-12-01T12:00,XETHZUSD,LONG,WIN,9.51,0.378090457373256,0.672,TRENDING,-387241.0,0.226,1.7321
2025-12-01T16:00,XETHZUSD,LONG,WIN,10.11,0.38374769985640395,0.732,TRENDING,-448662.0,0.42,1.7655
2025-12-01T20:00,XETHZUSD,LONG,WIN,7.74,0.38374769985640395,0.499,UNDEFINED,-454835.0,0.304,1.8652
2025-12-02T00:00,XETHZUSD,LONG,WIN,8.1,0.38374769985640395,0.477,UNDEFINED,-269401.0,0.238,1.8435
2025-12-02T04:00,XETHZUSD,LONG,WIN,8.99,0.38374769985640395,0.566,UNDEFINED,-243087.0,0.213,1.8464
2025-12-02T08:00,XETHZUSD,LONG,WIN,8.78,0.38374769985640395,0.51,UNDEFINED,-208316.0,0.186,1.8704
2025-12-02T12:00,XETHZUSD,LONG,LOSS,-2.2,0.39063300852292726,0.027,MEAN_REVERSION,-94075.0,0.09,2.1961
2025-12-02T16:00,XETHZUSD,LONG,WIN,3.73,0.39063300852292726,0.482,UNDEFINED,4392.0,0.026,2.2623
2025-12-02T20:00,XETHZUSD,LONG,WIN,6.38,0.39063300852292726,0.395,UNDEFINED,-41228.0,0.044,2.2641
2025-12-03T00:00,XETHZUSD,LONG,WIN,5.89,0.39063300852292726,0.452,UNDEFINED,4512.0,0.012,2.3329
2025-12-03T04:00,XETHZUSD,LONG,WIN,4.95,0.39063300852292726,0.866,TRENDING,26611.0,0.021,2.3203
2025-12-03T08:00,XETHZUSD,LONG,WIN,4.46,0.390200474611576,0.901,TRENDING,32047.0,0.02,1.9614
2025-12-03T12:00,XETHZUSD,LONG,WIN,4.07,0.390200474611576,0.886,TRENDING,140452.0,0.066,2.1295
2025-12-03T16:00,XETHZUSD,LONG,LOSS,-2.22,0.390200474611576,0.898,TRENDING,178600.0,0.126,2.2185
2025-12-03T20:00,XETHZUSD,SHORT,LOSS,-2.12,0.390200474611576,0.912,TRENDING,230586.0,0.2,2.1201
2025-12-04T00:00,XETHZUSD,SHORT,LOSS,-2.16,0.390200474611576,0.913,TRENDING,242955.0,0.238,2.1648
2025-12-04T04:00,XETHZUSD,SHORT,LOSS,-2.11,0.3837093063589717,0.705,TRENDING,206846.0,0.204,2.112
2025-12-04T08:00,XETHZUSD,SHORT,LOSS,-2.1,0.3837093063589717,0.667,TRENDING,312643.0,0.191,2.096
2025-12-04T12:00,XETHZUSD,SHORT,LOSS,-2.23,0.3837093063589717,0.816,TRENDING,311939.0,0.22,2.229
2025-12-04T16:00,XETHZUSD,SHORT,LOSS,-2.54,0.3837093063589717,0.278,MEAN_REVERSION,227278.0,0.152,2.5375
2025-12-04T20:00,XETHZUSD,SHORT,WIN,3.51,0.3837093063589717,0.246,MEAN_REVERSION,514006.0,0.167,2.1564
2025-12-05T00:00,XETHZUSD,SHORT,WIN,4.62,0.3840206041987205,0.296,MEAN_REVERSION,588496.0,0.177,2.1569
2025-12-05T04:00,XETHZUSD,SHORT,WIN,4.71,0.3840206041987205,0.277,MEAN_REVERSION,566276.0,0.181,2.1223
2025-12-05T08:00,XETHZUSD,SHORT,WIN,3.47,0.3840206041987205,0.012,MEAN_REVERSION,471820.0,0.164,2.1575
2025-12-05T12:00,XETHZUSD,SHORT,LOSS,-2.22,0.3840206041987205,0.296,MEAN_REVERSION,343782.0,0.094,2.2236
2025-12-05T16:00,XETHZUSD,SHORT,LOSS,-2.49,0.3840206041987205,0.526,UNDEFINED,198472.0,0.016,2.4858
2025-12-05T20:00,XETHZUSD,LONG,LOSS,-2.33,0.5975844205101045,0.518,TRENDING,125545.0,0.017,2.3303
2025-12-06T00:00,XETHZUSD,SHORT,LOSS,-2.22,0.5975844205101045,0.436,TRENDING,66716.0,0.099,2.2189
2025-12-06T04:00,XETHZUSD,LONG,LOSS,-2.05,0.5975844205101045,0.569,TRENDING,95132.0,0.059,2.0451
2025-12-06T08:00,XETHZUSD,LONG,LOSS,-1.95,0.5975844205101045,0.325,TRENDING,78064.0,0.079,1.9452
2025-12-06T12:00,XETHZUSD,LONG,LOSS,-1.93,0.5975844205101045,0.395,TRENDING,67242.0,0.266,1.9282
2025-12-06T16:00,XETHZUSD,LONG,WIN,3.53,0.6062923364270688,0.665,TRENDING,40112.0,0.294,1.9528
2025-12-06T20:00,XETHZUSD,LONG,WIN,3.18,0.6062923364270688,0.612,TRENDING,-101346.0,0.263,1.8067
2025-12-07T00:00,XETHZUSD,LONG,WIN,2.69,0.6062923364270688,0.405,TRENDING,-146237.0,0.213,1.4869
2025-12-07T04:00,XETHZUSD,LONG,WIN,3.29,0.6062923364270688,0.378,TRENDING,-321704.0,0.2,1.4549
2025-12-07T08:00,XETHZUSD,LONG,WIN,3.42,0.6062923364270688,0.007,MEAN_REVERSION,-386337.0,0.195,1.3582
2025-12-07T12:00,XETHZUSD,LONG,WIN,3.8,0.6066596382969649,0.029,MEAN_REVERSION,-403558.0,0.075,1.6169
2025-12-07T16:00,XETHZUSD,SHORT,LOSS,-1.75,0.6066596382969649,0.473,TRENDING,-269269.0,0.062,1.7488
2025-12-07T20:00,XETHZUSD,LONG,LOSS,-1.92,0.6066596382969649,0.129,UNDEFINED,-422608.0,0.06,1.9245
2025-12-08T00:00,XETHZUSD,LONG,LOSS,-1.82,0.6066596382969649,0.236,TRENDING,-237231.0,0.069,1.8236
2025-12-08T04:00,XETHZUSD,SHORT,LOSS,-1.78,0.6066596382969649,0.285,TRENDING,-270266.0,0.062,1.7841
2025-12-08T08:00,XETHZUSD,SHORT,LOSS,-1.83,0.6099442656494215,0.346,TRENDING,-245278.0,0.082,1.8255
2025-12-08T12:00,XETHZUSD,LONG,WIN,4.54,0.6099442656494215,0.174,UNDEFINED,-352261.0,0.087,2.0102
2025-12-08T16:00,XETHZUSD,LONG,WIN,7.64,0.6099442656494215,0.18,UNDEFINED,-208267.0,0.069,2.0707
2025-12-08T20:00,XETHZUSD,LONG,WIN,7.45,0.6099442656494215,0.254,TRENDING,-64581.0,0.145,2.0568
2025-12-09T00:00,XETHZUSD,LONG,WIN,7.29,0.6099442656494215,0.263,TRENDING,167000.0,0.163,2.0838
2025-12-09T04:00,XETHZUSD,LONG,WIN,7.51,0.6027903999701344,0.28,TRENDING,177167.0,0.128,2.1093
2025-12-09T08:00,XETHZUSD,LONG,WIN,7.63,0.5739322780434363,0.078,MEAN_REVERSION,131886.0,0.121,2.1431
2025-12-09T12:00,XETHZUSD,LONG,WIN,3.52,0.5818914923485868,0.647,TRENDING,241126.0,0.115,2.3462
2025-12-09T16:00,XETHZUSD,SHORT,LOSS,-2.56,0.5900811260080793,0.711,TRENDING,468534.0,0.206,2.5565
2025-12-09T20:00,XETHZUSD,LONG,LOSS,-2.45,0.5974132363927483,0.511,TRENDING,324469.0,0.101,2.4517
2025-12-10T00:00,XETHZUSD,SHORT,WIN,3.57,0.6165573768021942,0.467,TRENDING,303412.0,0.059,2.2245
2025-12-10T04:00,XETHZUSD,SHORT,WIN,4.07,0.597179252389046,0.667,TRENDING,313367.0,0.066,1.9869
2025-12-10T08:00,XETHZUSD,SHORT,WIN,3.8,0.607171351935508,0.603,TRENDING,250449.0,0.056,1.9571
2025-12-10T12:00,XETHZUSD,SHORT,WIN,4.43,0.6042565386523597,0.607,TRENDING,296356.0,0.166,1.9612
2025-12-10T16:00,XETHZUSD,SHORT,WIN,6.18,0.6332534098339494,0.665,TRENDING,408450.0,0.39,2.0525
2025-12-10T20:00,XETHZUSD,SHORT,WIN,4.33,0.6218018356105941,0.447,TRENDING,338892.0,0.274,2.1813
2025-12-11T00:00,XETHZUSD,LONG,LOSS,-2.5,0.6007687367916432,0.126,UNDEFINED,226478.0,0.201,2.5013
2025-12-11T04:00,XETHZUSD,LONG,LOSS,-2.49,0.6017835190046475,0.088,MEAN_REVERSION,282985.0,0.228,2.4863
2025-12-11T08:00,XETHZUSD,LONG,LOSS,-2.45,0.6032817386263631,0.451,TRENDING,221250.0,0.191,2.4514
2025-12-11T12:00,XETHZUSD,SHORT,LOSS,-2.53,0.6726629107129891,0.411,TRENDING,133881.0,0.12,2.5282
2025-12-11T16:00,XETHZUSD,SHORT,LOSS,-2.62,0.6636818018993276,0.339,TRENDING,185940.0,0.19,2.615
