timestamp,asset,direzione,esito,pnl_perc,hurst,kaufman,regime,cvd_proxy,vpin_proxy,atr_perc
2025-11-30T20:00,SOLUSD,SHORT,WIN,7.29,0.4601753782394243,0.38,UNDEFINED,28075.0,0.003,1.6366
2025-12-01T00:00,SOLUSD,SHORT,LOSS,-1.8,0.4601753782394243,0.629,TRENDING,-272977.0,0.119,1.8045
2025-12-01T04:00,SOLUSD,SHORT,WIN,2.85,0.4601753782394243,0.624,TRENDING,-170817.0,0.095,1.798
2025-12-01T08:00,SOLUSD,SHORT,LOSS,-1.8,0.4601753782394243,0.583,UNDEFINED,-177816.0,0.097,1.803
2025-12-01T12:00,SOLUSD,LONG,WIN,10.25,0.4601753782394243,0.657,TRENDING,-224262.0,0.109,2.0048
2025-12-01T16:00,SOLUSD,LONG,WIN,13.25,0.4602521342828778,0.726,TRENDING,-374252.0,0.34,2.0919
2025-12-01T20:00,SOLUSD,LONG,WIN,10.67,0.4602521342828778,0.488,UNDEFINED,-341183.0,0.205,2.1874
2025-12-02T00:00,SOLUSD,LONG,WIN,10.31,0.4602521342828778,0.446,UNDEFINED,-220688.0,0.12,2.1293
2025-12-02T04:00,SOLUSD,LONG,WIN,11.52,0.4602521342828778,0.593,UNDEFINED,-178081.0,0.129,2.1449
2025-12-02T08:00,SOLUSD,LONG,WIN,10.69,0.4602521342828778,0.497,UNDEFINED,-110550.0,0.07,2.1992
2025-12-02T12:00,SOLUSD,LONG,LOSS,-2.72,0.4752467490915531,0.177,UNDEFINED,63758.0,0.076,2.7192
2025-12-02T16:00,SOLUSD,LONG,LOSS,-2.85,0.4752467490915531,0.644,TRENDING,202173.0,0.174,2.8455
2025-12-02T20:00,SOLUSD,LONG,WIN,4.37,0.4752467490915531,0.519,UNDEFINED,123197.0,0.126,2.7807
2025-12-03T00:00,SOLUSD,LONG,LOSS,-2.77,0.4752467490915531,0.573,UNDEFINED,182160.0,0.178,2.7725
2025-12-03T04:00,SOLUSD,LONG,LOSS,-2.71,0.4752467490915531,0.75,TRENDING,243089.0,0.246,2.7134
2025-12-03T08:00,SOLUSD,LONG,LOSS,-2.45,0.4800334808005124,0.832,TRENDING,210440.0,0.191,2.4503
2025-12-03T12:00,SOLUSD,LONG,LOSS,-2.62,0.4800334808005124,0.736,TRENDING,157787.0,0.128,2.6151
2025-12-03T16:00,SOLUSD,LONG,LOSS,-2.67,0.4800334808005124,0.732,TRENDING,202744.0,0.209,2.6674
2025-12-03T20:00,SOLUSD,SHORT,LOSS,-2.64,0.4800334808005124,0.773,TRENDING,225123.0,0.256,2.6401
2025-12-04T00:00,SOLUSD,SHORT,WIN,4.18,0.4800334808005124,0.76,TRENDING,210094.0,0.231,2.6956
2025-12-04T04:00,SOLUSD,SHORT,LOSS,-2.65,0.4863833768066449,0.423,UNDEFINED,217420.0,0.178,2.6466
2025-12-04T08:00,SOLUSD,SHORT,WIN,4.23,0.4863833768066449,0.253,UNDEFINED,383236.0,0.164,2.6111
2025-12-04T12:00,SOLUSD,SHORT,WIN,5.85,0.4863833768066449,0.468,UNDEFINED,370361.0,0.174,2.6737
2025-12-04T16:00,SOLUSD,SHORT,WIN,5.15,0.4863833768066449,0.052,MEAN_REVERSION,319245.0,0.132,2.9044
2025-12-04T20:00,SOLUSD,SHORT,WIN,4.67,0.4863833768066449,0.264,UNDEFINED,356851.0,0.109,2.2804
2025-12-05T00:00,SOLUSD,SHORT,WIN,4.39,0.4850744186794577,0.275,UNDEFINED,364991.0,0.082,2.1542
2025-12-05T04:00,SOLUSD,SHORT,WIN,5.15,0.4850744186794577,0.104,UNDEFINED,343440.0,0.089,2.176
2025-12-05T08:00,SOLUSD,SHORT,LOSS,-2.25,0.4850744186794577,0.302,UNDEFINED,295207.0,0.08,2.2531
2025-12-05T12:00,SOLUSD,SHORT,LOSS,-2.36,0.4850744186794577,0.781,TRENDING,150630.0,0.016,2.3575
2025-12-05T16:00,SOLUSD,LONG,LOSS,-2.53,0.4850744186794577,0.816,TRENDING,59038.0,0.043,2.5324
2025-12-05T20:00,SOLUSD,SHORT,LOSS,-2.34,0.641898720196027,0.704,TRENDING,-82223.0,0.007,2.3426
2025-12-06T00:00,SOLUSD,SHORT,LOSS,-2.28,0.641898720196027,0.64,TRENDING,-214907.0,0.121,2.2825
2025-12-06T04:00,SOLUSD,SHORT,LOSS,-2.08,0.641898720196027,0.692,TRENDING,-167709.0,0.086,2.0819
2025-12-06T08:00,SOLUSD,SHORT,LOSS,-1.98,0.641898720196027,0.543,TRENDING,-217663.0,0.115,1.9784
2025-12-06T12:00,SOLUSD,SHORT,LOSS,-1.95,0.641898720196027,0.527,TRENDING,-378775.0,0.148,1.9542
2025-12-06T16:00,SOLUSD,LONG,LOSS,-1.98,0.650465483614291,0.541,TRENDING,-368805.0,0.168,1.9766
2025-12-06T20:00,SOLUSD,LONG,LOSS,-1.91,0.650465483614291,0.681,TRENDING,-311939.0,0.137,1.9144
2025-12-07T00:00,SOLUSD,LONG,LOSS,-1.66,0.650465483614291,0.369,TRENDING,-394433.0,0.124,1.6609
